company,rank,rank_change, revenue , profit , num. of employees ,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker, Market Cap 
Terex,576,0," 4,680 ", 54 ," 9,500 ",Industrials,Westport,CT,,no,no,yes, ,John L. Garrison Jr.,https://www.terex.com,TEX," 1,015 "
Syneos Health,577,0," 4,676 ", 131 ," 24,000 ",Health Care,Morrisville,NC,,no,no,yes, ,Alistair Macdonald,https://www.syneoshealth.com,SYNH," 4,109 "
FMC,578,0," 4,662 ", 477 ," 6,400 ",Chemicals,Philadelphia,PA,,no,no,yes, ,Mark Douglas,https://www.fmc.com,FMC," 13,645 "
Boise Cascade,579,0," 4,643 ", 81 ," 6,010 ",Wholesalers,Boise,ID,,no,no,yes, ,Nathan R. Jorgensen,https://www.bc.com,BCC, 932 
SS&C Technologies Holdings,580,0," 4,633 ", 439 ," 22,800 ",Technology,Windsor,CT,,yes,no,yes, ,William C. Stone,https://www.ssctech.com,SSNC," 11,204 "
Continental Resources,581,0," 4,632 ", 776 ," 1,260 ",Energy,Oklahoma City,OK,,no,no,yes, ,William B. Berry,https://www.clr.com,CLR," 2,789 "
Peabody Energy,582,0," 4,623 ", (211)," 6,600 ",Energy,St. Louis,MO,,no,no,no, ,Glenn L. Kellow,https://www.peabodyenergy.com,BTU, 282 
Encompass Health,583,0," 4,605 ", 359 ," 35,690 ",Health Care,Birmingham,AL,,no,no,yes, ,Mark J. Tarr,https://www.encompasshealth.com,EHC," 8,614 "
Greif,584,0," 4,595 ", 171 ," 17,000 ",Materials,Delaware,OH,,no,no,yes, ,Peter G. Watson,https://www.greif.com,GEF," 1,698 "
Concho Resources,585,0," 4,592 ", (705)," 1,453 ",Energy,Midland,TX,,no,no,no, ,Timothy A. Leach,https://www.conocophillips.com/concho/,," 8,429 "
Hubbell,586,0," 4,591 ", 401 ," 18,800 ",Industrials,Shelton,CT,,no,no,yes, ,Gerben W. Bakker,https://www.hubbell.com,HUBB," 6,239 "
CF Industries Holdings,587,0," 4,590 ", 493 ," 2,987 ",Chemicals,Deerfield,IL,,no,no,yes, ,W. Anthony Will,https://www.cfindustries.com,CF," 5,880 "
KLA,588,0," 4,569 "," 1,176 "," 10,020 ",Technology,Milpitas,CA,,no,no,yes, ,Richard P. Wallace,https://www.kla.com,KLAC," 22,534 "
Genesis Healthcare,589,0," 4,566 ", 15 ," 55,000 ",Health Care,Kennett Square,PA,,no,no,yes, ,Robert H. Fish,https://www.genesishcc.com,GEN, 139 
Brunswick,590,0," 4,557 ", (131)," 12,828 ",Transportation,Mettawa,IL,,no,no,no, ,David M. Foulkes,https://www.brunswick.com,BC," 2,807 "
KB Home,591,0," 4,553 ", 269 ," 2,140 ",Engineering & Construction,Los Angeles,CA,,no,no,yes, ,Jeffrey T. Mezger,https://www.kbhome.com,KBH," 1,631 "
Globe Life,592,0," 4,528 ", 761 ," 3,196 ",Financials,McKinney,TX,,no,no,yes, ,Gary L. Coleman/Larry M. Hutchison,https://www.globelifeinsurance.com,GL," 7,729 "
Mattel,593,0," 4,505 ", (214)," 24,000 ",Household Products,El Segundo,CA,,no,no,no, ,Ynon Kreiz,https://www.mattel.com,MAT," 3,056 "
Ryerson Holding,594,0," 4,502 ", 82 ," 4,500 ",Materials,Chicago,IL,,no,no,yes, ,Edward J. Lehner,https://www.ryerson.com,RYI, 199 
Silgan Holdings,595,0," 4,490 ", 194 ," 13,220 ",Materials,Stamford,CT,,no,no,yes, ,Anthony J. Allott,https://www.silganholdings.com,SLGN," 3,215 "
Zebra Technologies,596,0," 4,485 ", 544 ," 8,200 ",Industrials,Lincolnshire,IL,,no,no,yes, ,Anders Gustafsson,https://www.zebra.com,ZBRA," 9,916 "
Intuitive Surgical,597,0," 4,479 "," 1,379 "," 7,326 ",Health Care,Sunnyvale,CA,,no,no,yes, ,Gary Guthart,https://www.intuitive.com,ISRG," 85,902 "
Warner Music Group,598,0," 4,475 ", 256 ," 5,400 ",Media,New York,NY,,no,no,yes, ,Stephen F. Cooper,https://www.wmg.com,WMG," 19,638 "
Conduent,599,0," 4,467 "," (1,934)"," 67,000 ",Business Services,Florham Park,NJ,,no,no,no, ,Clifford A. Skelton,https://www.conduent.com,CNDT, 519 
Tutor Perini,600,0," 4,451 ", (388)," 9,100 ",Engineering & Construction,Sylmar,CA,,no,no,no, ,Ronald N. Tutor,https://www.tutorperini.com,TPC, 339 
Juniper Networks,601,0," 4,445 ", 345 ," 9,419 ",Technology,Sunnyvale,CA,,no,no,yes, ,Rami Rahim,https://www.juniper.net,JNPR," 6,326 "
Noble Energy,602,0," 4,438 "," (1,512)"," 2,282 ",Energy,Houston,TX,,no,no,no, ,David L. Stover,https://www.nblenergy.com,," 2,930 "
Vertiv Holdings,603,0," 4,431 ", (141)," 19,800 ",Industrials,Columbus,OH,,no,no,no, ,Robert J. Johnson,https://www.vertiv.com,VRT," 2,841 "
Tiffany,604,0," 4,424 ", 541 ," 14,100 ",Retailing,New York,NY,,no,no,yes, ,Anthony Ledru,https://www.investor.tiffany.com,," 15,694 "
EQT,605,0," 4,417 "," (1,222)", 647 ,Energy,Pittsburgh,PA,,no,no,no, ,Toby Z. Rice,https://www.eqt.com,EQT," 1,806 "
UFP Industries,606,0," 4,416 ", 180 ," 12,000 ",Materials,Grand Rapids,MI,,no,no,yes, ,Matthew J. Missad,https://www.ufpi.com,UFPI," 2,297 "
Diebold Nixdorf,607,0," 4,409 ", (341)," 22,000 ",Technology,North Canton,OH,,no,no,no, ,Gerrard B. Schmid,https://www.dieboldnixdorf.com,DBD, 273 
Antero Resources,608,0," 4,409 ", (340), 547 ,Energy,Denver,CO,,yes,no,no, ,Paul M. Rady,https://www.anteroresources.com,AR, 204 
Meritor,609,0," 4,388 ", 291 ," 9,100 ",Motor Vehicles & Parts,Troy,MI,,no,no,yes, ,Chris Villavarayan,https://www.meritor.com,MTOR, 979 
Broadridge Financial Solutions,610,0," 4,362 ", 482 ," 11,000 ",Business Services,Lake Success,NY,,no,no,yes, ,Timothy C. Gokey,https://www.broadridge.com,BR," 10,887 "
Church & Dwight,611,0," 4,358 ", 616 ," 4,800 ",Household Products,Ewing,NJ,,no,no,yes, ,Matthew T. Farrell,https://www.churchdwight.com,CHD," 15,774 "
Marriott Vacations Worldwide,612,0," 4,355 ", 138 ," 22,000 ","Hotels, Restaurants & Leisure",Orlando,FL,,no,no,yes, ,Stephen P. Weisz,https://www.marriottvacationsworldwide.com,VAC," 2,280 "
Edwards Lifesciences,613,0," 4,348 "," 1,047 "," 13,900 ",Health Care,Irvine,CA,,no,no,yes, ,Michael A. Mussallem,https://www.edwards.com,EW," 39,106 "
Colfax,614,0," 4,326 ", (528)," 15,000 ",Industrials,Annapolis Junction,MD,,no,no,no, ,Matthew L. Trerotola,https://www.colfaxcorp.com,CFX," 2,339 "
Insperity,615,0," 4,315 ", 151 ," 3,500 ",Business Services,Kingwood,TX,,yes,no,yes, ,Paul J. Sarvadi,https://www.insperity.com,NSP," 1,469 "
American Eagle Outfitters,616,0," 4,308 ", 191 ," 27,000 ",Retailing,Pittsburgh,PA,,no,no,yes, ,Jay L. Schottenstein,https://www.aeo-inc.com,AEO," 1,329 "
Keysight Technologies,617,0," 4,303 ", 621 ," 13,600 ",Technology,Santa Rosa,CA,,no,no,yes, ,Ronald S. Nersesian,https://www.keysight.com,KEYS," 15,681 "
JELD-WEN Holding,618,0," 4,290 ", 63 ," 23,300 ",Materials,Charlotte,NC,,no,no,yes, ,Gary S. Michel,https://www.jeld-wen.com,JELD, 980 
Iron Mountain,619,0," 4,263 ", 267 ," 25,000 ",Business Services,Boston,MA,,no,no,yes, ,William L. Meaney,https://www.ironmountain.com,IRM," 6,839 "
Nasdaq,620,0," 4,262 ", 774 ," 4,361 ",Financials,New York,NY,,no,yes,yes, ,Adena T. Friedman,https://www.nasdaq.com,NDAQ," 23,370 "
Gartner,621,0," 4,245 ", 233 ," 16,724 ",Technology,Stamford,CT,,no,no,yes, ,Eugene A. Hall,https://www.gartner.com,IT," 14,427 "
Sinclair Broadcast Group,622,0," 4,240 ", 47 ," 11,800 ",Media,Hunt Valley,MD,,no,no,yes, ,Christopher S. Ripley,https://www.sbgi.net,SBGI," 1,473 "
Ingles Markets,623,0," 4,202 ", 82 ," 18,630 ",Food & Drug Stores,Black Mountain,NC,,no,no,yes, ,James W. Lanning,https://www.ingles-markets.com,IMKTA, 733 
Monster Beverage,624,0," 4,201 "," 1,108 "," 3,092 ","Food, Beverages & Tobacco",Corona,CA,,no,no,yes, ,Rodney C. Sacks/Hilton H. Schlosberg,https://www.monsterbevcorp.com,MNST," 30,206 "
